id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
patricia-marx-interviews-art-buchwald,Patricia Marx Interviews: Art Buchwald,"Patricia Marx Interviews: Art Buchwald, 1964-01-06",,audio/patricia-marx-interviews-art-buchwald.mp3,transcripts/text/patricia-marx-interviews-art-buchwald.text,transcripts/vtt/patricia-marx-interviews-art-buchwald.vtt,transcripts/json/patricia-marx-interviews-art-buchwald.json
patricia-marx-interviews-aileen-ward,Patricia Marx Interviews: Aileen Ward,"Patricia Marx Interviews: Aileen Ward, 1964-05-05",,audio/patricia-marx-interviews-aileen-ward.mp3,transcripts/text/patricia-marx-interviews-aileen-ward.text,transcripts/vtt/patricia-marx-interviews-aileen-ward.vtt,transcripts/json/patricia-marx-interviews-aileen-ward.json
patricia-marx-interviews-al-hirschfeld,Patricia Marx Interviews: Al Hirschfeld,"Patricia Marx Interviews: Al Hirschfeld, 1968-09-12",,audio/patricia-marx-interviews-al-hirschfeld.mp3,transcripts/text/patricia-marx-interviews-al-hirschfeld.text,transcripts/vtt/patricia-marx-interviews-al-hirschfeld.vtt,transcripts/json/patricia-marx-interviews-al-hirschfeld.json
patricia-marx-interviews-anthony-lewis,Patricia Marx Interviews: Anthony Lewis,"Patricia Marx Interviews: Anthony Lewis, 1967-04-07",,audio/patricia-marx-interviews-anthony-lewis.mp3,transcripts/text/patricia-marx-interviews-anthony-lewis.text,transcripts/vtt/patricia-marx-interviews-anthony-lewis.vtt,transcripts/json/patricia-marx-interviews-anthony-lewis.json
patricia-marx-interviews-arthur-c-clarke,Patricia Marx Interviews: Arthur C. Clarke,"Patricia Marx Interviews: Arthur C. Clarke, 1968-07-11",,audio/patricia-marx-interviews-arthur-c-clarke.mp3,transcripts/text/patricia-marx-interviews-arthur-c-clarke.text,transcripts/vtt/patricia-marx-interviews-arthur-c-clarke.vtt,transcripts/json/patricia-marx-interviews-arthur-c-clarke.json
patricia-marx-interviews-bob-hope,Patricia Marx Interviews: Bob Hope,"Patricia Marx Interviews: Bob Hope,1963-06-10",,audio/patricia-marx-interviews-bob-hope.mp3,transcripts/text/patricia-marx-interviews-bob-hope.text,transcripts/vtt/patricia-marx-interviews-bob-hope.vtt,transcripts/json/patricia-marx-interviews-bob-hope.json
patricia-marx-interviews-dick-gregory,Patricia Marx Interviews: Dick Gregory,"Patricia Marx Interviews: Dick Gregory, 1964-11-03",,audio/patricia-marx-interviews-dick-gregory.mp3,transcripts/text/patricia-marx-interviews-dick-gregory.text,transcripts/vtt/patricia-marx-interviews-dick-gregory.vtt,transcripts/json/patricia-marx-interviews-dick-gregory.json
patricia-marx-interviewsgunter-grass,Patricia Marx Interviews:Gunter Grass,"Patricia Marx Interviews:Gunter Grass, 1964-07-28",,audio/patricia-marx-interviewsgunter-grass.mp3,transcripts/text/patricia-marx-interviewsgunter-grass.text,transcripts/vtt/patricia-marx-interviewsgunter-grass.vtt,transcripts/json/patricia-marx-interviewsgunter-grass.json
patricia-marx-interviews-herman-kahn,Patricia Marx Interviews: Herman Kahn,Patricia Marx Interviews: Herman Kahn,,audio/patricia-marx-interviews-herman-kahn.mp3,transcripts/text/patricia-marx-interviews-herman-kahn.text,transcripts/vtt/patricia-marx-interviews-herman-kahn.vtt,transcripts/json/patricia-marx-interviews-herman-kahn.json
patricia-marx-interviews-howard-zinn,Patricia Marx Interviews: Howard Zinn,"Patricia Marx Interviews: Howard Zinn, no date",,audio/patricia-marx-interviews-howard-zinn.mp3,transcripts/text/patricia-marx-interviews-howard-zinn.text,transcripts/vtt/patricia-marx-interviews-howard-zinn.vtt,transcripts/json/patricia-marx-interviews-howard-zinn.json
patricia-marx-interviews-jacques-cousteau,Patricia Marx Interviews: Jacques Cousteau,Patricia Marx Interviews: Jacques Cousteau,,audio/patricia-marx-interviews-jacques-cousteau.mp3,transcripts/text/patricia-marx-interviews-jacques-cousteau.text,transcripts/vtt/patricia-marx-interviews-jacques-cousteau.vtt,transcripts/json/patricia-marx-interviews-jacques-cousteau.json
patricia-marx-interviews-james-dickey,Patricia Marx Interviews: James Dickey,"Patricia Marx Interviews: James Dickey,1966-10-13",,audio/patricia-marx-interviews-james-dickey.mp3,transcripts/text/patricia-marx-interviews-james-dickey.text,transcripts/vtt/patricia-marx-interviews-james-dickey.vtt,transcripts/json/patricia-marx-interviews-james-dickey.json
patricia-marx-interviews-john-simon,Patricia Marx Interviews: John Simon,"Patricia Marx Interviews: John Simon, 1968-10-03",,audio/patricia-marx-interviews-john-simon.mp3,transcripts/text/patricia-marx-interviews-john-simon.text,transcripts/vtt/patricia-marx-interviews-john-simon.vtt,transcripts/json/patricia-marx-interviews-john-simon.json
patricia-marx-interviews-lorraine-hansberry,Patricia Marx Interviews: Lorraine Hansberry,"Patricia Marx Interviews: Lorraine Hansberry, 1961-08-04",,audio/patricia-marx-interviews-lorraine-hansberry.mp3,transcripts/text/patricia-marx-interviews-lorraine-hansberry.text,transcripts/vtt/patricia-marx-interviews-lorraine-hansberry.vtt,transcripts/json/patricia-marx-interviews-lorraine-hansberry.json
patricia-marx-interviews-mort-sahl,Patricia Marx Interviews: Mort Sahl,"Patricia Marx Interviews: Mort Sahl, 1964-03-25",,audio/patricia-marx-interviews-mort-sahl.mp3,transcripts/text/patricia-marx-interviews-mort-sahl.text,transcripts/vtt/patricia-marx-interviews-mort-sahl.vtt,transcripts/json/patricia-marx-interviews-mort-sahl.json
patricia-marx-interviews-theodore-sorensen,Patricia Marx Interviews: Theodore Sorensen,"Patricia Marx Interviews: Theodore Sorensen, no date",,audio/patricia-marx-interviews-theodore-sorensen.mp3,transcripts/text/patricia-marx-interviews-theodore-sorensen.text,transcripts/vtt/patricia-marx-interviews-theodore-sorensen.vtt,transcripts/json/patricia-marx-interviews-theodore-sorensen.json
patricia-marx-interviews-thomas-wilfred,Patricia Marx Interviews: Thomas Wilfred,"Patricia Marx Interviews: Thomas Wilfred, 1968-07-18",,audio/patricia-marx-interviews-thomas-wilfred.mp3,transcripts/text/patricia-marx-interviews-thomas-wilfred.text,transcripts/vtt/patricia-marx-interviews-thomas-wilfred.vtt,transcripts/json/patricia-marx-interviews-thomas-wilfred.json
patricia-marx-interviews-walter-karp,Patricia Marx Interviews: Walter Karp,"Patricia Marx Interviews: Walter Karp, no date",,audio/patricia-marx-interviews-walter-karp.mp3,transcripts/text/patricia-marx-interviews-walter-karp.text,transcripts/vtt/patricia-marx-interviews-walter-karp.vtt,transcripts/json/patricia-marx-interviews-walter-karp.json
patricia-marx-interviews-wolf-von-eckardt,Patricia Marx Interviews: Wolf Von Eckardt,"Patricia Marx Interviews: Wolf Von Eckardt, 1968-02-01",,audio/patricia-marx-interviews-wolf-von-eckardt.mp3,transcripts/text/patricia-marx-interviews-wolf-von-eckardt.text,transcripts/vtt/patricia-marx-interviews-wolf-von-eckardt.vtt,transcripts/json/patricia-marx-interviews-wolf-von-eckardt.json
patricia-marx-interviews-woody-allen,Patricia Marx Interviews: Woody Allen,"Patricia Marx Interviews: Woody Allen, 1964-11-24",,audio/patricia-marx-interviews-woody-allen.mp3,transcripts/text/patricia-marx-interviews-woody-allen.text,transcripts/vtt/patricia-marx-interviews-woody-allen.vtt,transcripts/json/patricia-marx-interviews-woody-allen.json
